Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
EE,Cambridgeshire,873,"Abbey College, Ramsey",Academy,10035138,120322,110,2,"460,890","6,000",0,0,"12,000","6,481","6,481",0,0,0,0,"479,370"
YH,Leeds,383,Abbey Grange Church of England Academy,Academy,10034529,120083,373,0,"1,606,309","122,947",2,0,0,"31,890","31,890",0,0,"7,800",0,"1,645,999"
NE,Stockton-on-Tees,808,Abbey Hill Academy,Academy Special,10042628,124569,96,96,0,0,0,0,"960,000","10,299","10,299",0,0,0,0,"970,299"
YH,Rotherham,372,Abbey School,Academy Special,10056212,133677,12,12,0,0,0,0,"120,000","1,287","1,287",0,0,0,0,"121,287"
EM,Northamptonshire,928,Abbeyfield School,Academy,10038483,122250,148,2,"588,732","19,566",0,0,"12,000","20,398","20,398",0,0,0,0,"621,130"
SW,Wiltshire,865,Abbeyfield School,School Sixth Form,10009479,117685,144,0,"590,803","6,000",0,0,0,"6,999","6,999",0,0,"6,000",0,"603,802"
EE,Suffolk,935,Abbeygate Sixth Form College,Free School,10083728,152032,400,0,"1,647,206","54,118",0,0,0,"51,939","42,912","9,027",0,0,0,"1,699,145"
SW,South Gloucestershire,803,Abbeywood Community School,Academy,10039896,122309,92,0,"378,236","15,552",0,0,0,"8,981","8,981",0,0,0,0,"387,217"
WM,Staffordshire,860,Abbot Beyne School,School Sixth Form,10000044,113584,86,0,"370,352","18,511",0,0,0,"9,216","9,216",0,0,"6,000",0,"385,568"
GL,Hillingdon,312,Abbotsfield School,School Sixth Form,10000045,113769,66,0,"281,799","34,543",15,"-12,718",0,"7,468","7,468",0,0,0,0,"276,549"
SE,Oxfordshire,931,Abingdon and Witney College,General FE and Tertiary,10000055,112314,"1,661",253,"8,176,234","743,222",26,0,"1,518,000","161,376","137,737","23,639","136,250",0,0,"9,991,860"
EM,Nottinghamshire,891,Academy Transformation Trust,Other,10039859,124263,119,0,"550,994","98,908",14,"-18,468",0,"25,594","25,097",497,0,0,0,"558,119"
WM,Birmingham,330,Access To Music Limited,Independent Learning Provider,10000080,113004,"2,762",63,"13,521,770","1,593,837",31,0,"378,000","449,725","369,424","80,301","186,000","2,400",0,"14,537,895"
