objectid,lad19cd,local_authority,la_welsh,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
347,S12000033,Aberdeen City, ,387763,808478,-2.20397997,57.16699982,205624866.4,99383.34603
348,S12000034,Aberdeenshire, ,352286,816276,-2.79204988,57.23469925,6338223453,810669.12
229,E07000223,Adur, ,518065,106473,-0.32433,50.84569931,43563964.01,35569.40078
66,E07000026,Allerdale, ,317516,532995,-3.28096008,54.68519974,1320563605,235810.1064
72,E07000032,Amber Valley, ,436166,348084,-1.46219003,53.02880096,265437867.7,109036.5204
354,S12000041,Angus, ,345518,759594,-2.89189005,56.72480011,2203212519,312360.7892
318,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.17759991,54.69390106,728186553.5,165145.0879
328,N09000011,Ards and North Down, ,164321,524944,-5.64567995,54.56409836,566472954.6,204689.1045
349,S12000035,Argyll and Bute, ,200740,715442,-5.22113991,56.28939819,7163792987,3718732.766
319,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43454981,54.38669968,1437068553,243056.4471
230,E07000224,Arun, ,495145,105724,-0.64998001,50.84320068,224280746.9,114323.9611
187,E07000170,Ashfield, ,450035,355843,-1.25422001,53.09749985,109557941.1,69174.84942
128,E07000105,Ashford, ,597640,140644,0.82337397,51.13100052,580617312.7,149446.4911
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.90039825,902753224.9,243091.8273
210,E07000200,Babergh, ,599994,244657,0.91623098,52.06420135,612041239.6,172205.7587
286,E09000002,Barking and Dagenham, ,547759,185107,0.12950601,51.54550171,37799326.59,36967.15276
287,E09000003,Barnet, ,523472,191753,-0.21821,51.61109924,86748323.84,50818.56402
264,E08000016,Barnsley, ,429979,403327,-1.54925001,53.5257988,329077594.6,126421.1418
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19975996,54.15739822,132063829.5,78163.05257
93,E07000066,Basildon, ,571548,190848,0.47505501,51.5904007,110445915.6,59670.38267
111,E07000084,Basingstoke and Deane, ,454508,151423,-1.22020996,51.25939941,633817172,143437.3842
